Tag 'synth_adsr.c' range is 0x8004F394 - 0x8004FA47
Tag 'osalloc.c' range is 0x800080B8 - 0x800087C3
[!] Function 0x8004F003 'voiceIsLastStarted' has multiple file tags: set(['synth.c', 'synthvoice.c'])
[!] Function 0x8004F09B 'voiceSetLastStarted' has multiple file tags: set(['synth.c', 'synthvoice.c'])
[!] Function 0x8004F113 'voiceResetLastStarted' has multiple file tags: set(['synth.c', 'synthvoice.c'])
[!] Function 0x8004F397 'adsrGetIndex' has multiple file tags: set(['synth_adsr.c', 'synth.c'])
[!] Function 0x8004F3D3 'adsrConvertTimeCents' has multiple file tags: set(['synth_adsr.c', 'synth.c'])
[!] Function 0x8004F42F 'salChangeADSRState' has multiple file tags: set(['synth_adsr.c', 'synth.c'])
[!] Function 0x8004F6A3 'adsrSetup' has multiple file tags: set(['synth_adsr.c', 'synth.c'])
[!] Function 0x8004F6DB 'adsrStartRelease' has multiple file tags: set(['synth_adsr.c', 'synth.c'])
[!] Function 0x8004F83B 'adsrRelease' has multiple file tags: set(['synth_adsr.c', 'synth.c'])
[!] Function 0x8004F88F 'adsrHandle' has multiple file tags: set(['synth_adsr.c', 'synth.c'])
[!] Function 0x8004FAB7 'dataInitStack' has multiple file tags: set(['s_data.c', 'synth.c'])
[!] Function 0x8004FAC3 'GetPoolAddr' has multiple file tags: set(['s_data.c', 'synth.c'])
[!] Function 0x8004FAC7 'GetPoolAddr' has multiple file tags: set(['s_data.c', 'synth.c'])
[!] Function 0x8004FAFF 'GetMacroAddr' has multiple file tags: set(['s_data.c', 'synth.c'])
[!] Function 0x8004FB3B 'GetCurveAddr' has multiple file tags: set(['s_data.c', 'synth.c'])
[!] Function 0x8004FB77 'GetKeymapAddr' has multiple file tags: set(['s_data.c', 'synth.c'])
[!] Function 0x8004FBB3 'GetLayerAddr' has multiple file tags: set(['s_data.c', 'synth.c'])
[!] Function 0x8004FBEF 'InsertData' has multiple file tags: set(['s_data.c', 'synth.c'])
[!] Function 0x8004FD5F 'ScanIDList' has multiple file tags: set(['s_data.c', 'synth.c'])
[!] Function 0x8004FE03 'InsertMacros' has multiple file tags: set(['s_data.c', 'synth.c'])
[!] Function 0x8004FE3B 'InsertCurves' has multiple file tags: set(['s_data.c', 'synth.c'])
[!] Function 0x8004FE73 'InsertKeymaps' has multiple file tags: set(['s_data.c', 'synth.c'])
[!] Function 0x8004FEAB 'InsertLayers' has multiple file tags: set(['s_data.c', 'synth.c'])
[!] Function 0x8004FEE3 'InsertSamples' has multiple file tags: set(['s_data.c', 'synth.c'])
[!] Function 0x8004FF47 'InsertFXTab' has multiple file tags: set(['s_data.c', 'synth.c'])
[!] Function 0x8004FF83 'sndPushGroup' has multiple file tags: set(['s_data.c', 'synth.c'])
[!] Function 0x80050147 'seqPlaySong' has multiple file tags: set(['s_data.c', 'synth.c'])
